"f80","LST_MODIS","land_cover_NLCD_Open.water","land_cover_NLCD_Perennial.ice..snow","land_cover_NLCD_Developed..open.space","land_cover_NLCD_Developed..low.intensity","land_cover_NLCD_Developed..medium.intensity","land_cover_NLCD_Developed..high.intensity","land_cover_NLCD_Barren.land","land_cover_NLCD_Deciduous.forest","land_cover_NLCD_Evergreen.forest","land_cover_NLCD_Mixed.forest","land_cover_NLCD_Dwarf.shrub","land_cover_NLCD_Shrub..scrub","land_cover_NLCD_Sedge..herbaceous","land_cover_NLCD_Woody.wetlands","land_cover_NLCD_Emergent.herbaceous.wetlands"
600,289.267811083934,0.0573007172670845,0.0021923056505404,0,0,0,0,1.3607281358038e-08,0,0,0,0,0,0.60985077366135,0,0.330656189813744
600,289.400806015792,0.0572175241386468,0.00151428859622822,0,0,0,0,0,0,0,0,0,0,0.679219341390929,0,0.262048845874196
600,289.523813763096,0.0573066454214373,0.00131352925471598,0,0,0,0,0,0,0,0,0,0,0.726554548591918,0,0.214825276731928
700,289.68681000816,0.0713452924541797,0.00125873150061643,0,0,0,0,0,0,0,0,0,0,0.756920198536673,0,0.170475777508531
800,289.867236554064,0.160272441733831,0.0044718977533389,0,0,0,0,1.90122280658031e-06,0,0,0,0,0,0.657677106854645,0,0.177576652435379
1100,290.024808669579,0.24350065494413,0.0223054980998615,0,0,0,0,0.0002520136970098,0,0,0,0,0,0.544747911711438,0,0.189193921547561
1300,290.09345828225,0.219212583216825,0.0432567490750344,0,0,0,0,0.000290751602977324,0,0,0,0,0,0.562653896938695,0,0.174586019166469
1400,290.134931017712,0.202747903795412,0.0647431741476834,0,0,0,0,0.000401788259692099,0,0,0,0,0,0.55786621012455,0,0.174240923672662
1400,290.187026547554,0.174843119577646,0.0693581925953658,0,0,0,0,0.000371152181015031,0,0,0,0,0,0.59439523301108,0,0.161032302634892
1400,290.234300585323,0.167608281377093,0.0699969019998098,0,0,0,0,0.000360536845869006,0,0,0,0,0,0.603190347586588,0,0.15884393219064
1400,290.252202097806,0.180287912066623,0.0634754605808137,0,0,0,0,0.000490190773424599,0,0,0,0,0,0.582171271915262,0,0.173575164663877
1600,290.244367216496,0.169747554255788,0.0639472777894875,0,0,0,0,0.00133537072075487,0,0,0,0,0,0.56341756622518,0,0.20155223100879
1800,290.208246697751,0.156177861072569,0.0638776947776157,0,0,0,0,0.00267136371773689,0,0,0,0,0,0.554069411745334,0,0.223203668686744
1900,290.213875020339,0.131315803207061,0.0571356068338002,0,0,0,0,0.00386390096545633,0,0,0,0,0,0.586469108089745,0,0.221215580903938
1900,290.243042332884,0.100592168250354,0.0595502426915123,0,0,0,0,0.00376240563927891,0,0,0,0,0,0.619624544508813,0,0.216470638910041
1600,290.33285471373,0.0641800071189444,0.0613281603406737,0,0,0,0,0.00131110553903623,0,0,0,0,0,0.673496283324567,0,0.199684443676779
1400,290.427121953859,0.0310695115362881,0.0469575920218136,0,0,0,0,0.000257653688160646,0,0,0,0,0,0.729336676791397,0,0.19237856596234
1100,290.519604609189,0.0260834340503674,0.018729055004548,0,0,0,0,0.000108369050908774,0,0,0,0,0,0.752007422453098,0,0.203071719441078
1000,290.566461877942,0.0317629305074449,0.0112621176731343,0,0,0,0,1.97037846395047e-05,0,0,0,0,0,0.711086548846411,0,0.24586869918837
900,290.602207429548,0.0323820146772194,0.00673778289986633,0,0,0,0,9.86261612341539e-06,0,0,0,0,0,0.677445998843002,0,0.283424340963789
900,290.62118321074,0.0315987892329828,0.00530447066453506,0,0,0,0,1.45754177810045e-05,0,0,0,0,0,0.652503474509924,0,0.310578690174777
900,290.631839260088,0.0448496534097676,0.00442145267427722,0,0,0,0,2.08995168415862e-05,0,0,0,0,0,0.622515307132,0,0.328192687267113
900,290.630384907068,0.0380813145390169,0.00448169358425673,0,0,0,0,0.000104112480407831,0,0,0,0,0,0.622732728913124,0,0.334600150483195
900,290.638899651728,0.0487815576699136,0.00285025563096262,0,0,0,0,4.17091425102157e-05,0,0,0,0,0,0.616909729227888,0,0.331416748328725
900,290.649765825101,0.0668525530009937,0.0017335840292783,0,0,0,0,5.94909661358312e-06,0,0,0,0,0,0.628011990975276,0,0.303395922897838
800,290.65495626407,0.0607714805281276,0.00112017793067965,0,0,0,0,2.94291924925798e-06,0,0,0,0,0,0.638814442950711,0,0.299290955671232
800,290.661330035634,0.056370319363945,0.00067197573250292,0,0,0,0,0,0,0,0,0,0,0.635765659324232,0,0.30719204557932
800,290.669324506336,0.0479106067723483,0.000459472121823487,0,0,0,0,7.70025561967974e-08,0,0,0,0,0,0.671055050487692,0,0.28057479361558
700,290.684299846653,0.0591653778889806,7.00855768832932e-05,0,0,0,0,0,0,0,0,0,0,0.679103524449549,0,0.261661012084587
700,290.692142543224,0.0402976320399433,6.49379896744493e-05,0,0,0,0,4.76010793850068e-08,0,0,0,0,0,0.697288039588996,0,0.262349342780307
700,290.701253013299,0.0381103967036159,6.4194540625146e-05,0,0,0,0,4.13272901929374e-07,0,0,0,0,0,0.670095210602577,0,0.29172978488028
700,290.707269172918,0.0294425337530612,9.67523110713378e-05,0,0,0,0,2.35924304235482e-07,0,0,0,0,0,0.658783451314535,0,0.311677026697029
800,290.7135143617,0.0204401224958751,0.000145983061682174,0,0,0,0,0,0,0,0,0,0,0.671499982738234,0,0.307913911704208
800,290.707635714516,0.000548493098110591,0.000228098522649937,0,0,0,0,0,0,0,0,0,0,0.664634120923267,0,0.334589287455972
800,290.692160065038,2.54619252960249e-06,0.00038360441078022,0,0,0,0,0,0,0,0,0,0,0.634263437851634,0,0.365350411545057
800,290.663369039834,4.52296963153087e-06,0.000553682376729924,0,0,0,0,0,0,0,0,0,0,0.611882971248281,0,0.387558823405358
800,290.604032434257,1.03035540920312e-05,0.000742455768807485,0,0,0,0,0,0,0,0,0,0,0.591863968648983,0,0.407383272028118
800,290.53635859795,2.52282289415403e-05,0.000780274034984583,0,0,0,0,0,0,0,0,0,0,0.544659394070571,0,0.454535103665503
800,290.428157279277,4.14722750696203e-05,0.00045446141491449,0,0,0,0,0,0,0,0,0,0,0.561100422835763,0,0.438403643474253
700,290.295626395017,0.000303984237177073,0.000255769312668115,0,0,0,0,0,0,0,0,0,0,0.625160053314271,0,0.374280193135884
800,290.161837867958,0.00191680685234125,0.000259192208182488,0,0,0,0,0,0,0,0,0,0,0.623847892808797,0,0.373976108130679
800,290.04138415208,0.00669343881114497,0.000298265690469667,0,0,0,0,0,0,0,0,0,0,0.629471836686581,0,0.363536458811804
900,290.046660568989,0.00644771053083746,0.000360410518492516,0,0,0,0,0,0,0,0,0,0,0.650658655111901,0,0.342533223838769
900,289.944663630853,0.0350346360651096,0.000277217015924947,0,0,0,0,9.59423195269956e-06,0,0,0,0,0,0.591859269822902,0,0.372819282864111
1000,289.859512984644,0.0894196535708036,0.000106665023935945,0,0,0,0,3.21231418825102e-05,0,0,0,0,0,0.560109891093968,0,0.35033166716941
1000,289.783971394475,0.185674402072107,3.44329375320497e-05,0,0,0,0,2.64152516071988e-05,0,0,0,0,0,0.531394538329088,0,0.282870211409666
900,289.714948408019,0.262212624292858,2.87959341194926e-05,0,0,0,0,6.61326490510097e-06,0,0,0,0,0,0.474979266317741,0,0.262772700190376
900,289.661632170457,0.321466400207143,2.57087666555867e-05,0,0,0,0,1.01001658077683e-05,0,0,0,0,0,0.378632180512998,0,0.299865610347396
800,289.64707969219,0.38265803549257,2.60904718050279e-05,0,0,0,0,1.31349894956423e-05,0,0,0,0,0,0.307950879089424,0,0.309351859956705
800,289.64494715098,0.415305951616047,2.21117600920888e-05,0,0,0,0,1.54800410574031e-05,0,0,0,0,0,0.237640775701426,0,0.347015680881378
